myScore,Num. people in role,Num. transfers to role,Num. transfers from role,Total years in role,Mean years in role,Mean % career in role,Role
0.72955182072829128,7,2,2,33.5,4.7857142857142856,72.955182072829132,Consul-General Detroit
0.72760641163793105,8,7,4,25.0,3.125,41.577509236453203,Ambassador to the Democratic Republic of the Congo
0.72758814703675923,4,4,1,14.0,3.5,18.189703675918981,Ambassador to Pakistan
0.72619047619047628,2,2,1,6.0,3.0,36.30952380952381,Economic and Commercial Counsellor Kenya
0.72222222222222221,1,1,1,6.5,6.5,72.222222222222214,Minister/Ambassador to Afghanistan
0.72000661375661368,4,4,1,11.0,2.75,18.000165343915342,Consul-General Lyon
0.71933256949966207,19,20,6,75.5,3.9736842105263159,21.579977084989864,Ambassador to Norway
0.71875,2,1,1,6.0,3.0,71.875,Counsellor (Commercial) Embassy China
0.71840284051674874,20,15,9,70.0,3.5,43.104170431004924,Ambassador to Panama
0.7182915057915058,5,2,2,23.5,4.7000000000000002,71.829150579150578,Ambassador to Slovenia
0.71790645819901144,4,4,2,31.0,7.75,35.895322909950572,Minister to Norway
0.71767288653898564,12,10,5,43.0,3.5833333333333335,35.88364432694928,High Commissioner to Lesotho
0.71731149233321123,17,18,6,59.5,3.5,23.910383077773709,Ambassador to Morocco
0.71353896103896086,5,3,2,25.5,5.0999999999999996,47.569264069264058,Second Legal Adviser Foreign and Commonwealth Office
0.70990990990990999,3,3,1,11.5,3.8333333333333335,23.663663663663666,Senior Inspector Foreign Office
0.70940170940170943,3,1,1,17.5,5.833333333333333,70.940170940170944,Head of Library and Records Department Foreign and Commonwealth Office
0.70370370370370372,2,1,1,10.0,5.0,70.370370370370367,Ambassador to the Dominican Republic and Haiti
0.70221445221445222,2,2,1,15.0,7.5,35.110722610722611,Under-Secretary United Nations Organization
0.69999999999999996,1,1,1,17.5,17.5,70.0,Charge d’Affaires /Minister Resident Peru
0.69999999999999996,1,1,1,3.5,3.5,70.0,Economic and Commercial Counsellor Embassy Pakistan
0.69999999999999996,1,1,1,3.5,3.5,70.0,Deputy High Commissionet New Zealand
0.69999999999999996,1,1,1,3.5,3.5,70.0,Counsellor (Political) Embassy Israel
0.69444444444444442,2,2,1,8.0,4.0,34.722222222222221,Governor of St. Helena
0.69235958816779286,10,9,5,36.0,3.6000000000000001,38.464421564877384,High Commissioner to Belize
0.69047619047619047,2,2,1,5.0,2.5,34.523809523809526,Head of East and West Africa Department Foreign and Commonwealth Office
0.6897321428571429,2,3,1,7.0,3.5,22.991071428571431,Ambassador to Haiti
0.6875,1,1,1,5.5,5.5,68.75,Director-General External Relations European Commission
0.6875,1,1,1,5.5,5.5,68.75,Commissioner/Governor of Anguilla
0.68572931276297333,5,5,2,18.5,3.7000000000000002,27.429172510518935,Ambassador to Thailand and Laos
0.68433880308880313,4,3,2,23.0,5.75,45.622586872586872,Director of Research and Librarian Foreign Office
0.68421052631578949,2,1,1,7.0,3.5,68.421052631578945,Counsellor Embassy Philippines
0.67813994828700719,11,6,5,36.5,3.3181818181818183,56.511662357250593,Consul-General Jedda
0.67311286164504458,18,18,7,81.0,4.5,26.176611286196177,Ambassador to Greece
0.66958333333333342,3,3,1,9.5,3.1666666666666665,22.319444444444446,Head of the British Middle East Office
0.66879420389856814,8,7,5,29.0,3.625,47.771014564183446,Ambassador to Guatemala
0.6651641375657209,16,17,5,62.0,3.875,19.563651104874143,Ambassador to Egypt
0.66344896933132225,5,5,3,20.5,4.0999999999999996,39.806938159879337,High Commissioner to Mozambique
0.65831298331298327,9,5,4,28.5,3.1666666666666665,52.665038665038665,Head of Claims Department Foreign and Commonwealth Office
0.65714285714285714,1,1,1,11.5,11.5,65.714285714285708,Under-Secretary for Foreign Affairs  and 1807-1809
0.65393677662924254,19,19,8,70.5,3.7105263157894739,27.534180068599685,Ambassador to Finland
0.65384615384615385,1,1,1,8.5,8.5,65.384615384615387,Ambassador to the O.E.E.C.
0.65359477124183007,2,2,1,8.0,4.0,32.679738562091501,Counsellor (Administration) Embassy Federal Republic of Germany
0.65340987756960789,20,18,8,77.0,3.8500000000000001,29.040439003093681,Ambassador to Uruguay
0.65282590021201425,28,23,14,131.0,4.6785714285714288,39.737228708557389,Consul-General San Francisco
0.64781746031746035,4,2,2,23.0,5.75,64.781746031746039,Minister to Afghanistan
0.64703324808184148,5,4,2,13.5,2.7000000000000002,32.351662404092075,Minister to El Salvador
0.64658579801008587,6,3,3,23.0,3.8333333333333335,64.658579801008585,Counsellor and Deputy Head of Mission Portugal
0.64411878881987583,4,3,2,11.0,2.75,42.94125258799172,Ambassador to Ivory Coast
0.6428571428571429,1,1,1,4.5,4.5,64.285714285714292,Counsellor Legation Austria
0.6428571428571429,1,1,1,4.5,4.5,64.285714285714292,Ambassador to France  1831-1835 and 1835-1841
0.64241624492157612,19,20,7,75.5,3.9736842105263159,22.484568572255164,Ambassador to Mexico
0.64240098947450996,31,31,12,134.5,4.338709677419355,24.867135076432646,Ambassador to Spain
0.64213564213564212,6,2,2,16.0,2.6666666666666665,64.213564213564212,Ambassador to Gabon
0.63939179061455087,4,4,2,29.0,7.25,31.969589530727543,Minister Resident Uruguay
0.63664320539779617,17,16,7,59.5,3.5,27.853140236153585,High Commissioner to Malta
0.6348840532197777,9,9,5,29.5,3.2777777777777777,35.271336289987651,Ambassador to Latvia
0.63301698301698306,7,6,4,24.5,3.5,42.201132201132204,Ambassador to Georgia
0.63157894736842102,2,2,1,6.0,3.0,31.578947368421051,Permanent Representative to European Union
0.6314112134446821,24,11,10,113.0,4.708333333333333,57.401019404062005,Consul-General Rio de Janeiro
0.63023770470748053,26,27,11,97.0,3.7307692307692308,25.676350932526979,Ambassador to Portugal
0.63013834717711681,17,18,6,59.5,3.5,21.004611572570557,High Commissioner to Kenya
0.625,1,1,1,7.5,7.5,62.5,Governor of Tasmania
0.625,1,1,1,7.5,7.5,62.5,Counsellor (Hong Kong Affairs) U.K. Mission to the United Nations Organizations Geneva
0.625,1,1,1,2.5,2.5,62.5,Counsellor (Economic) Russia
0.62408357771261003,2,3,2,16.0,8.0,41.605571847507335,Permanent Under-Secretary for the Dominions
0.62099977215766677,20,4,5,107.0,5.3499999999999996,77.624971519708353,Consul-General Alexandria
0.61939605110336815,3,4,2,15.5,5.166666666666667,30.969802555168407,Minister to Albania
0.61617789030593484,24,23,9,98.0,4.083333333333333,24.111308751101799,High Commissioner to Canada
0.61449579831932777,7,5,3,17.5,2.5,36.869747899159663,Commercial Inspector
0.61290322580645162,2,1,1,11.0,5.5,61.29032258064516,Charge d’Affaires Mexico
0.61290322580645162,1,1,1,9.5,9.5,61.29032258064516,Charge d’Affaires/Minister Resident Venezuela
0.61165716465621545,26,20,13,101.0,3.8846153846153846,39.757715702654004,Consul-General Milan
0.60958124337915276,7,4,4,29.5,4.2142857142857144,60.95812433791528,Ambassador to Estonia
0.609375,2,1,1,11.0,5.5,60.9375,Agent for Morocco and Consul-General Tangier
0.60782581304485839,18,19,9,72.0,4.0,28.791749038966973,Ambassador to Nepal
0.60144927536231885,2,2,1,15.0,7.5,30.072463768115941,Secretary of Legation Italy
0.59999999999999998,1,1,1,7.5,7.5,60.0,Vice-Marshal of the Diplomatic Corps and Assistant Under-Secretary for Foreign and Commonwealth Affairs
0.59761383716536698,17,16,8,75.5,4.4411764705882355,29.880691858268349,Consul-General Los Angeles
0.59430386588351536,13,15,8,49.5,3.8076923076923075,31.696206180454151,Ambassador to Bahrain
0.59375,3,1,1,14.5,4.833333333333333,59.375,Legal Adviser Colonial and Dominions Offices
0.5929535232383808,2,2,1,11.0,5.5,29.647676161919041,Permanent Under-Secretary for Commonwealth Relations
0.59224386724386724,4,4,2,17.0,4.25,29.612193362193363,Ambassador to Czech Republic
0.59090909090909094,1,1,1,6.5,6.5,59.090909090909093,Political Representative/Ambassador to Japan
0.59090909090909083,2,2,1,11.0,5.5,29.54545454545454,Ambassador/High Commissioner to Pakistan
0.58882590603956975,25,20,13,100.5,4.0199999999999996,38.273683892572031,Consul-General Sao Paulo
0.58875873064555773,17,16,6,66.5,3.9117647058823528,22.078452399208416,Permanent Representative to the United Nations Organizations Geneva
0.58823529411764708,2,1,1,5.0,2.5,58.82352941176471,Commercial and Economic Counsellor Thailand
0.58620689655172409,1,1,1,8.5,8.5,58.620689655172406,Assistant Under-Secretary Department of Trade and Industry  and Director Overseas Trade Foreign and Commonwealth Office 1997-1999
0.58513814616755799,5,5,4,20.5,4.0999999999999996,46.811051693404636,Ambassador to Costa Rica and Nicaragua
0.58505793826559094,9,9,5,38.5,4.2777777777777777,32.503218792532827,Consul-General Sydney Australia
0.58490566037735847,1,1,1,15.5,15.5,58.490566037735846,Minister/Ambassador Portugal
0.58414634146341471,3,3,2,14.5,4.833333333333333,38.943089430894311,Economic Counsellor Embassy Germany
0.58333333333333337,2,1,1,8.0,4.0,58.333333333333336,Commercial Counsellor Brazil
0.58333333333333337,1,1,1,3.5,3.5,58.333333333333336,Head of Organization for Security and Coopperation in Europe and Council of Europe Department Foreign and Commonwealth Office
0.58111111111111113,2,2,1,12.0,6.0,29.055555555555557,Permanent Representative to the European Communities
0.57894736842105265,1,1,1,5.5,5.5,57.894736842105267,Head of European and Global Issues Secretariat Cabinet Office
0.57874999999999999,2,2,1,8.0,4.0,28.9375,Ambassador to Cameroon
0.578125,1,1,1,18.5,18.5,57.8125,Minister Resident Bavaria  and Wurttemberg 1890-1903
0.5757575757575758,2,1,1,5.0,2.5,57.575757575757578,Director European Political Affairs Foreign and Commonwealth Office
0.57446808510638303,2,1,1,10.0,5.0,57.446808510638306,Head of Information Department Commonwealth Relations Office
0.56944444444444442,2,1,1,8.0,4.0,56.944444444444443,Minister to Nicaragua
0.56862745098039214,1,1,1,14.5,14.5,56.862745098039213,Secretary-General League of Nations
0.56521739130434778,1,1,1,6.5,6.5,56.521739130434781,Minister/Ambassador to the Dominican Republic
0.5625,2,1,1,3.0,1.5,56.25,Ambassador to the Congo
0.5625,1,1,1,4.5,4.5,56.25,Secretary-General of N.A.T.O.
0.5625,1,1,1,4.5,4.5,56.25,Minister/Ambassador to Costa Rica
0.5625,1,1,1,4.5,4.5,56.25,Minister High Commission India
0.5625,1,1,1,4.5,4.5,56.25,Governor of Cayman Islands
0.5625,1,1,1,4.5,4.5,56.25,Counsellor U.K. Delegation to Disarmament Conference
0.56079359370136816,30,20,16,127.0,4.2333333333333334,44.86348749610945,Consul-General Boston
0.55808080808080807,3,3,2,11.5,3.8333333333333335,37.205387205387204,Minister (Commercial) Egypt
0.55769230769230771,1,1,1,14.5,14.5,55.769230769230774,Charge d’Affaires Heese-Darmstadt and Baden
0.55741167434715821,4,4,2,14.0,3.5,27.87058371735791,Minister to Guatemala
0.55664804076428565,18,12,10,67.0,3.7222222222222223,46.387336730357134,Consul-General Rotterdam
0.55658341214984974,19,18,9,68.5,3.6052631578947367,27.829170607492486,Ambassador to Tunisia
0.5561002178649237,3,2,2,10.5,3.5,55.610021786492368,Head of Information Research Department Foreign and Commonwealth Office
0.55555555555555558,1,1,1,7.5,7.5,55.555555555555557,Minister/Ambassador to Iran
0.55555555555555558,1,1,1,7.5,7.5,55.555555555555557,Minister/Ambassador to Denmark
0.55526103678331817,10,10,3,59.0,5.9000000000000004,16.657831103499547,Ambassador to Austria-Hungary
0.55426356589147285,3,2,2,11.5,3.8333333333333335,55.426356589147282,Counsellor and Head of Chancery Embassy Philippines
0.5537037037037037,6,6,3,33.0,5.5,27.685185185185183,Minister Resident Central American Republics
0.55288461538461542,2,2,1,5.0,2.5,27.64423076923077,Director Prosperity Foreign and Commonwealth Office
0.55185052019583847,8,7,5,39.0,4.875,39.417894299702745,Head of Cultural Relations Department Foreign and Commonwealth Office
0.55147343179712804,23,14,12,94.5,4.1086956521739131,47.269151296896688,Consul-General Munich
0.55077677611970466,14,15,6,58.0,4.1428571428571432,22.031071044788185,High Commissioner to Malaysia
0.55072463768115942,2,2,1,5.0,2.5,27.536231884057973,Ambassador to Mali
0.55000000000000004,1,1,1,16.5,16.5,55.000000000000007,Finance Officer Foreign Office  and Assistant Under-Secretary for Foreign Affairs 1933-1939
0.55000000000000004,1,1,1,5.5,5.5,55.000000000000007,British Resident Persian Gulf
0.54886400772430177,8,6,5,69.0,8.625,45.73866731035848,Agent and Consul-General Egypt
0.54838709677419351,1,1,1,8.5,8.5,54.838709677419352,Head of Office Services and Transport/Home Estates Department Foreign and Commonwealth Office
0.54738909037097871,14,9,7,50.0,3.5714285714285716,42.574707028853901,Ambassador to Madagascar
0.54622253832780154,4,4,2,11.0,2.75,27.311126916390077,Head of Research Analysts Foreign and Commonwealth Office
0.54599589603397802,19,20,9,76.5,4.0263157894736841,24.569815321529013,Ambassador to Venezuela
0.54166666666666663,1,1,1,6.5,6.5,54.166666666666664,Minister/Ambassador to Uruguay
0.54096251074703072,16,9,8,62.0,3.875,48.085556510847177,Ambassador to Paraguay
0.53846153846153844,1,2,1,3.5,3.5,26.923076923076923,Director European and Global Issues Cabinet Office
